DATE,CPIAUCSL
2019-03-01,254.095
2019-04-01,254.943
2019-05-01,255.167
2019-06-01,255.402
2019-07-01,256.087
2019-08-01,256.294
2019-09-01,256.593
2019-10-01,257.229
2019-11-01,257.824
2019-12-01,258.444
2020-01-01,258.820
2020-02-01,259.050
2020-03-01,257.953
