DATE,UMCSENT
2019-03-01,98.4
2019-04-01,97.2
2019-05-01,100
2019-06-01,98.2
2019-07-01,98.4
2019-08-01,89.8
2019-09-01,93.2
2019-10-01,95.5
2019-11-01,96.8
2019-12-01,99.3
2020-01-01,99.8
2020-02-01,101
2020-03-01,89.1
