DATE,CSUSHPISA
2019-03-01,207.56599999999997
2019-04-01,208.218
2019-05-01,208.69299999999998
2019-06-01,209.032
2019-07-01,209.442
2019-08-01,210.204
2019-09-01,210.955
2019-10-01,211.774
2019-11-01,212.66299999999998
2019-12-01,213.601
2020-01-01,214.56
2020-02-01,215.6
2020-03-01,216.59
