DATE,UMCSENT
3/1/19,98.4
4/1/19,97.2
5/1/19,100.0
6/1/19,98.2
7/1/19,98.4
8/1/19,89.8
9/1/19,93.2
10/1/19,95.5
11/1/19,96.8
12/1/19,99.3
1/1/20,99.8
2/1/20,101.0
3/1/20,89.1
