Date,Close,Adj Close,Volume
2019-03-01,2818.42,2818.42,3384462500
2019-04-01,2903.80,2903.80,3314516190
2019-05-01,2854.71,2854.71,3493641818
2019-06-01,2890.17,2890.17,3544069500
2019-07-01,2996.11,2996.11,3197703182
2019-08-01,2897.45,2897.45,3618156364
2019-09-01,2982.16,2982.16,3699616500
2019-10-01,2977.68,2977.68,3372371739
2019-11-01,3104.90,3104.90,3608996000
2019-12-01,3176.75,3176.75,3431142857
2020-01-01,3278.20,3278.20,3671639048
2020-02-01,3277.31,3277.31,4436435263
2020-03-01,2652.39,2652.39,7354595455
2020-04-01,2761.98,2761.98,5864926190
2020-05-01,2893.14,2893.14,5119566250
