DATE,PCE
2019-03-01,14354.6
2019-04-01,14452.5
2019-05-01,14516.0
2019-06-01,14565.0
2019-07-01,14644.4
2019-08-01,14682.4
2019-09-01,14707.8
2019-10-01,14745.4
2019-11-01,14792.5
2019-12-01,14847.1
2020-01-01,14913.7
2020-02-01,14940.5
2020-03-01,13813.2
